genes,KI_3,KI_4,KI_6,KI_7,KI_8,SAA_4,SAA_5,SAA_6,SAA_7,SAA_8
Gm12243,0,0,0,0,0,0,0,0,0,0
X4933424L21Rik,0,0,0,0,0,0,0,0,0,0
Galnt10,0,8,5,10,15,0,3,8,8,53
X4933426K07Rik,0,0,0,0,0,0,0,0,0,0
X2010001A14Rik,7,6,5,0,2,8,8,5,2,1
Sap30l,0,7,1,6,0,0,7,0,0,3
Hand1,0,0,0,0,0,0,0,0,0,0
Gm12249,0,0,0,0,0,0,0,0,0,0
Larp1,63,95,84,39,86,31,40,39,42,75
Gm12248,0,0,0,0,0,0,0,0,0,0
Cnot8,94,148,195,156,170,112,80,93,59,92
Gemin5,4,30,13,14,23,13,1,9,29,47
Gm12246,0,0,0,2,0,0,0,0,0,0
Mrpl22,21,31,22,22,65,10,8,7,22,23
Igtp,25,40,64,28,62,11,38,9,20,17
Irgm2,5,93,54,58,143,35,92,14,37,34
X4930438A08Rik,0,0,0,0,0,0,0,0,0,0
Zfp692,54,48,66,25,50,32,18,28,36,53
Zfp672,43,64,64,13,86,8,17,7,31,49
X1700047K16Rik,0,0,0,0,0,0,0,0,0,0
Sh3bp5l,96,102,62,64,97,31,31,58,50,56
Lypd8,0,0,0,0,0,0,0,0,0,0
X1810065E05Rik,0,0,0,0,0,0,0,0,0,0
Gm12253,0,0,0,0,0,0,0,0,0,0
Lypd9,0,0,0,0,0,0,0,0,0,0
Olfr30,0,0,0,0,0,0,0,0,0,0
Olfr332,0,0,0,0,0,0,0,0,0,0
Olfr331,0,0,0,0,0,0,0,0,0,0
Olfr330,0,0,0,0,0,0,0,0,0,0
Olfr329.ps,0,0,0,0,0,0,0,0,0,0
Olfr328,0,0,0,0,0,0,0,0,0,0
Olfr224,0,0,0,0,0,0,0,0,0,0
Olfr325,0,0,0,0,0,0,0,0,0,0
Olfr324,0,0,0,0,0,0,0,0,0,0
X2210407C18Rik,0,0,0,0,0,0,0,0,0,0
Olfr323,0,0,0,0,0,0,0,0,0,0
Trim58,0,0,0,0,0,0,0,0,0,0
Olfr322,0,0,0,0,0,0,0,0,0,0
Olfr320,0,0,0,0,0,0,0,0,0,0
Olfr319,0,0,0,0,0,0,0,0,0,0
Olfr318,0,0,0,0,0,0,0,0,0,0
Olfr317,0,0,0,0,0,0,0,0,0,0
Olfr316,0,0,0,0,0,0,0,0,0,0
Olfr315,0,0,0,0,0,0,0,0,0,0
Olfr314,0,0,0,0,0,0,0,0,0,0
Fam183b,0,0,0,3,3,0,7,0,0,10
Olfr313,0,0,0,0,0,0,0,0,0,0
Olfr312,0,0,0,0,0,0,0,0,0,0
Olfr311,0,0,0,0,0,0,0,0,0,0
Gm12258,23,45,25,13,21,20,25,13,28,22
Gm12259,0,0,0,0,0,0,0,0,0,0
X2810021J22Rik,0,0,23,31,18,0,8,17,0,21
Zfp39,5,0,7,8,8,3,9,9,0,3
Gm12256,0,0,0,0,0,0,0,0,0,0
Gm12257,0,0,0,0,0,0,0,0,0,0
Btnl10,0,0,0,0,0,0,0,0,0,0
Rnf187,3,25,19,25,20,1,8,22,19,14
Hist3h2ba,7,4,31,2,7,4,1,8,1,2
Hist3h2a,16,9,43,16,31,22,16,14,19,21
Trim17,0,0,0,0,5,0,0,0,3,0
X2310058D17Rik,0,1,0,2,2,1,0,2,0,0
Trim11,29,42,49,24,81,35,39,16,20,31
Obscn,0,0,0,0,0,0,0,0,0,0
Gm10435,0,0,0,0,0,0,0,0,0,0
Iba57,0,9,3,0,8,0,0,6,9,0
Gjc2,6,16,48,7,6,14,0,8,4,1
Guk1,28,101,58,64,78,32,19,37,34,40
X2610507I01Rik,10,48,18,9,16,7,12,5,16,30
Mrpl55,14,17,71,26,46,10,14,35,15,41
X2310033P09Rik,18,38,38,13,26,10,15,18,11,33
Arf1,276,368,450,291,422,140,234,216,245,306
Wnt3a,0,0,0,0,0,0,0,0,0,0
Wnt9a,0,0,0,0,0,2,0,0,0,3
Prss38,0,0,0,0,0,0,0,0,0,0
Gm15755,0,0,0,0,0,0,0,0,0,0
Snap47,76,151,195,49,188,59,108,77,81,162
Jmjd4,8,18,23,15,42,14,8,30,0,18
Zfp867,4,13,20,0,10,0,20,7,2,14
Zkscan17,17,50,40,14,34,17,17,21,29,26
X4933439C10Rik,6,10,9,0,8,3,3,1,11,20
Nlrp3,1,7,4,26,12,18,4,5,0,14
Olfr222,0,0,0,0,0,0,0,0,0,0
Olfr223,0,0,0,0,0,0,0,0,0,0
Mprip,41,58,50,62,87,14,18,25,65,67
X1700007J10Rik,0,0,1,0,5,0,1,0,0,0
Gm12264,0,2,1,0,0,1,0,1,0,3
Pld6,0,0,3,0,3,1,0,3,6,7
Flcn,214,254,284,167,290,114,185,178,159,198
Gm16062,0,2,3,1,0,0,0,1,0,1
Cops3,80,109,66,56,98,44,49,35,63,46
Nt5m,8,18,9,17,20,10,22,16,6,22
Gm12714,0,0,0,0,0,0,0,0,0,0
X1810063I02Rik,0,0,0,0,0,0,0,0,0,0
Med9os,0,1,0,1,0,2,1,0,0,2
Med9,26,15,27,22,60,16,2,8,6,39
Rasd1,0,0,7,0,6,8,9,2,5,2
Pemt,0,0,0,4,0,0,0,0,2,2
Rai1,11,32,20,4,44,10,21,8,20,17
X4930412M03Rik,0,0,0,0,0,0,0,0,0,0
Srebf1,383,512,486,507,674,147,272,313,474,746
Tom1l2,404,320,737,249,563,230,261,317,284,334
Gm12265,0,0,0,0,0,0,0,0,0,0
Drc3,0,7,6,14,42,0,20,9,7,15
Atpaf2,8,27,13,17,32,10,15,16,21,10
Gid4,14,12,37,27,33,17,8,14,17,11
Drg2,81,75,98,22,90,17,54,54,40,62
Myo15,0,0,0,7,0,0,0,0,0,0
Alkbh5,15,32,27,29,40,9,20,11,20,20
Llgl1,220,253,373,70,208,61,83,125,110,141
Flii,97,194,225,100,361,85,99,139,82,126
Mief2,12,18,42,22,24,0,7,11,18,29
